Product ID,SEO Title,Short Description,Metal Color,Stone Shape
BR-574103,18k Rose Gold Diamond Tennis Bracelet,Warm and romantic pink gold tennis bracelet set with brilliant round diamonds.,Rose Gold,Round
BR-597421,18k White Gold Black Diamond Tennis Bracelet,Sleek and modern tennis bracelet featuring mysterious black diamonds in white gold.,White Gold,Round
BR-846521,18k White Gold Classic Diamond Tennis Bracelet,Elegant single row diamond bracelet, perfect for stacking or solo wear.,White Gold,Round
BR-907508,18k Yellow Gold Emerald Tennis Bracelet,Vibrant line bracelet featuring round green emeralds set in rich 18k yellow gold.,Yellow Gold,Round
E- 190309,18k Yellow Gold Round Diamond Solitaire Stud Earring (Single),Classic 4-prong basket setting holding a brilliant round diamond.,Yellow Gold,Round
E-134812,Asymmetrical Multi-Shape Diamond Cluster Earrings (Heart Emerald Pear),Artistic mismatched stud earrings featuring a unique composition of fancy cut diamonds.,White Gold,"Heart, Emerald, Pear, Oval"
E-259091,18k White Gold Round Diamond Stud Earrings (Martini Setting),Elegant 3-prong martini setting maximizes light return for these round brilliant diamond studs.,White Gold,Round
E-3605991,18k White Gold Round Diamond Stud Earrings (4-Prong),Classic and secure 4-prong basket setting holding matched round brilliant diamonds.,White Gold,Round
E-447337,18k White Gold Round Diamond Solitaire Studs,Timeless essential diamond earrings in a high-polish 18k white gold setting.,White Gold,Round
E-520951,18k White Gold Round Diamond Stud Earrings,Premium round diamonds set in a durable 18k white gold 4-prong mounting.,White Gold,Round
E-528358,18k Yellow Gold Radiant Cut Diamond Stud Earrings (Screw Back),Secure screw-back stud earrings featuring radiant/princess cut diamonds in 18k yellow gold.,Yellow Gold,Radiant/Princess
E-584448,18k Yellow Gold Screw Motif Huggie Hoop Earrings,Distinctive small hoop earrings featuring the iconic industrial screw motif.,Yellow Gold,N/A
E-600528,18k White Gold Princess Cut Diamond Stud Earrings,Sharp and modern square princess cut diamonds set in 18k white gold.,White Gold,Princess
E-720338,Mixed Fancy Shape Diamond Cluster Earrings Asymmetrical,Playful and luxurious mismatched studs featuring Emerald, Heart, Pear, and Oval diamonds.,White Gold,"Emerald, Heart, Pear, Oval"
E-770642,18k White Gold Oval Cut Diamond Stud Earrings,Trending oval shape diamonds elongate the earlobe in this classic solitaire setting.,White Gold,Oval
E-780863,Mismatched Mixed Shape Diamond Cluster Earrings (Emerald Heart),Trend-setting asymmetrical studs featuring a curated mix of Emerald, Heart, and Pear cut diamonds.,Yellow Gold,"Emerald, Heart, Pear, Cushion"
E-915381,Multi-Shape Diamond Cluster Stud Earrings (Princess Pear Oval),Exquisite cluster earrings combining Princess, Pear, and Oval cuts in a unique asymmetrical design.,Rose Gold,"Princess, Pear, Oval, Heart"
E-955664,18k Rose Gold Round Diamond Stud Earrings,Warm and romantic rose gold settings highlight the brilliance of these round diamond studs.,Rose Gold,Round
P-123923,18k White Gold Radiant Cut Diamond Halo Pendant,Stunning elongated radiant cut diamond surrounded by a glittering halo. Diamond set bail.,White Gold,Radiant
P-180588,18k White Gold Princess Cut Diamond Cross Pendant,Classic religious symbol reimagined with seamless channel-set princess cut diamonds.,White Gold,Princess
P-747940,18k White Gold Emerald Cut Diamond Solitaire Pendant,Minimalist luxury featuring a single emerald cut diamond in a sleek basket setting.,White Gold,Emerald
P-952829,5-Stone Graduated Diamond Curved Bar Necklace,Elegant smile necklace featuring 5 round brilliant diamonds in a shared prong white gold setting.,White Gold,Round
P-988481,18k Yellow Gold 'The World Is Yours' Globe Pendant,Detailed figural pendant featuring figures supporting a globe. A statement of ambition and success.,Yellow Gold,N/A
R-100768,Vintage Style Marquise Diamond Ring with Black Accents 18k Yellow Gold,Ornate yellow gold ring featuring a marquise diamond center and contrasting black diamond accents.,Yellow Gold,Marquise
R-106810,Art Deco Two-Tone Emerald Cut Diamond Ring (Bezel Set),Architectural bezel-set emerald cut diamond ring with heavy geometric engraving and side accents.,Two-Tone Gold,Emerald
R-113952,Fancy Pink Emerald Cut Diamond Engagement Ring,Rare fancy pink emerald cut diamond flanked by side stones in a luxurious pave setting.,White Gold,Emerald
R-124711,Fancy Pink Oval Diamond Engagement Ring (Vine Band),Exquisite pink oval diamond set on a delicate diamond-accented vine style band.,White Gold,Oval
R-129963,5-Stone Emerald Cut Diamond Anniversary Ring,Statement ring featuring five brilliant emerald cut diamonds in a graduated design.,White Gold,Emerald
R-135142,18k White Gold Pear Shaped Diamond Engagement Ring (Pave Band),Classic pear shaped solitaire enhanced by a shimmering micropave diamond band.,White Gold,Pear
R-137366,18k Yellow Gold Oval Diamond Solitaire Ring,Timeless elegance featuring a brilliant oval cut diamond set in rich 18k yellow gold.,Yellow Gold,Oval
R-142620,Platinum Emerald Cut Diamond Ring with Baguette Side Stones,Art Deco inspired design with a crisp emerald cut center and channel-set baguette shoulders.,Platinum/White Gold,Emerald
R-145577,18k Yellow Gold Marquise & Pear 3-Stone Diamond Ring,Regal 3-stone ring highlighting a marquise center flanked by two matching pear shape diamonds.,Yellow Gold,"Marquise, Pear"
R-15612,18k Yellow Gold 3-Stone Emerald Cut Diamond Ring,Traditional trilogy ring featuring three step-cut emerald diamonds set in yellow gold.,Yellow Gold,Emerald
R-163614,18k Rose Gold Textured Men's Wedding Band with Diamond,Masculine rose gold band featuring a rugged bark texture and a single flush-set diamond.,Rose Gold,Round
R-165442,18k Rose Gold Oval Diamond Engagement Ring (Pave Band),Romantic rose gold ring showcasing a spectacular oval diamond on a slender pave band.,Rose Gold,Oval
R-168340,18k White Gold Oval & Round Diamond Engagement Ring,Features a brilliant oval center accented by sparkling round side stones.,White Gold,Oval
R-168741,18k White Gold Oval Diamond Engagement Ring (Micropave),Classic oval solitaire set on a delicate micropave diamond band.,White Gold,Oval
R-185470,18k White Gold Round Diamond Engagement Ring (Pave Band),Timeless round brilliant solitaire with a shimmering diamond pave shank.,White Gold,Round
R-212805,Oval Diamond Ring with Marquise Side Accents,Nature-inspired design featuring an oval center with floral marquise diamond shoulders.,White Gold,Oval
R-215073,Two-Tone Oval & Fancy Shape 3-Stone Engagement Ring,Stunning oval center flanked by unique geometric side stones on a gold band.,Two-Tone Gold,Oval
R-228512,Elongated Cushion Cut Diamond Ring with Pave Band,Modern elongated cushion cut diamond set on a thin diamond-encrusted band.,White Gold,Cushion
R-239088,18k White Gold Pear Shaped Diamond Ring (Pave Band),Elegant pear shaped diamond resting on a slender micropave band.,White Gold,Pear
R-254983,Classic Pear Diamond Engagement Ring with Pave,Sophisticated pear cut diamond solitaire enhanced by a sparkling diamond shank.,White Gold,Pear
R-277444,18k White Gold Wide Band Diamond Ring (Channel & Pave),Bold statement ring featuring a center round diamond and multi-row diamond band.,White Gold,Round
R-290198,18k White Gold Round Diamond Halo Engagement Ring,Classic round brilliant diamond surrounded by a glittering diamond halo.,White Gold,Round
R-291937,18k Yellow Gold Floral Diamond Engagement Semi-Mount,Nature-inspired lotus flower setting awaiting your center stone. Pave diamond shank.,Yellow Gold,Semi-Mount
R-292348,18k Yellow Gold Radiant Cut Diamond Ring (Pave Band),Dazzling radiant cut diamond set in yellow gold with a diamond-encrusted band.,Yellow Gold,Radiant
R-296893,Vintage Style Round Diamond Solitaire Engagement Ring,Intricate vintage-inspired basket setting holding a brilliant round diamond.,White Gold,Round
R-297686,Modern Fluted Band Radiant Cut Diamond Bezel Ring,Contemporary architectural ring featuring a ribbed gold band and bezel-set radiant diamond.,Yellow Gold,Radiant
R-303750,Classic Emerald Cut Diamond Engagement Ring (Pave Band),Timeless emerald cut diamond solitaire on a sparkling micropave white gold band.,White Gold,Emerald
R-304519,18k White Gold Oval Diamond Engagement Ring (Pave),Elegant oval diamond set on a classic diamond pave band.,White Gold,Oval
R-316417,Heart Shape Diamond Eternity Band / Link Ring,Romantic eternity style ring composed of linked heart-shaped diamonds.,White Gold,Heart
R-328114,Flexible Heart Shape Diamond Eternity Ring,Unique flexible link ring design featuring continuous heart-shaped diamonds.,White Gold,Heart
R-340402,18k Yellow Gold Round Diamond Eternity Band,Classic shared-prong diamond eternity band crafted in rich yellow gold.,Yellow Gold,Round
R-353371,Two-Tone 18k Gold Men's Diamond Wedding Band,Bold mixed metal band featuring yellow and white gold with a central diamond row.,Two-Tone Gold,Round
R-355998,18k White Gold Round Diamond Halo Split Shank Ring,Glamorous split shank engagement ring featuring a round brilliant diamond surrounded by a glittering halo.,White Gold,Round
R-361407,18k Yellow Gold Round Diamond Vine Engagement Ring,Nature-inspired yellow gold ring with a twisted vine band adorned with diamond leaves.,Yellow Gold,Round
R-367741,18k Yellow Gold Oval Diamond Solitaire Engagement Ring,Timeless and elegant oval solitaire set in rich 18k yellow gold with a classic 4-prong setting.,Yellow Gold,Oval
R-370812,18k Yellow Gold Oval Diamond Ring with Marquise Accents,Stunning oval center stone flanked by delicate marquise diamond accents for a floral touch.,Yellow Gold,Oval
R-376971,18k Rose Gold Modern Channel Set Diamond Eternity Band,Contemporary eternity band featuring a central row of diamonds driven by rose gold edges.,Rose Gold,Round
R-390571,18k White Gold Oval Diamond Engagement Ring (Pave Band),Classic oval solitaire perched on a slender white gold band set with micro-pave diamonds.,White Gold,Oval
R-395399,18k White Gold Round Diamond Halo Ring (Double Shank),Brilliant round diamond halo ring featuring a dramatic split shank design for maximum sparkle.,White Gold,Round
R-410210,18k Yellow Gold Marquise Diamond Bypass Ring,Avant-garde sculptural setting holding a stunning marquise diamond in a floating bypass design.,Yellow Gold,Marquise
R-410354,18k Yellow Gold Oval Diamond Solitaire Ring,Minimalist luxury featuring a brilliant oval cut diamond set in a sleek yellow gold mounting.,Yellow Gold,Oval
R-418126,18k White Gold Nature Inspired Ring with Sapphires & Diamonds,Artistic vine and leaf ring featuring a round diamond center with deep blue sapphire accents.,White Gold,Round
R-427796,Platinum 3-Stone Emerald Cut Diamond Ring (Baguettes),Sophisticated 3-stone design featuring a crisp emerald cut diamond flanked by tapered baguettes.,Platinum/White Gold,Emerald
R-438932,18k White Gold Radiant Cut Diamond Engagement Ring (Pave),Dazzling elongated radiant cut diamond sitting atop a shimmering micropave diamond band.,White Gold,Radiant
R-441586,18k White Gold Oval Diamond Ring with Marquise Accents,Elegant oval solitaire enhanced by floral-inspired marquise and round diamond accents.,White Gold,Oval
R-44826,18k White Gold Men's Band with Ruby & Sapphire Inlay,Distinctive men's wedding band featuring channel-set diamonds, rubies, and sapphires.,White Gold,Round
R-453000,18k White Gold Diamond Semi-Mount with Sapphire Accents,Unique ring setting featuring graduated blue sapphires detailing the shank.,White Gold,Semi-Mount
R-460374,18k White Gold Round Diamond Halo Engagement Ring,Classic round brilliant diamond surrounded by a precise diamond halo and pave band.,White Gold,Round
R-461474,18k Yellow Gold Oval Diamond Solitaire Engagement Ring,Timeless oval cut diamond set in a rich 18k yellow gold mounting.,Yellow Gold,Oval
R-469533,18k Rose Gold Oval Diamond Solitaire Engagement Ring,Warm and romantic oval diamond solitaire with a rose gold setting.,Rose Gold,Oval
R-470260,Platinum Emerald Cut Diamond Ring with Baguette Channel Band,Art Deco inspired masterpiece featuring an emerald cut center and bold baguette channel band.,Platinum/White Gold,Emerald
R-472084,18k Yellow Gold Sculptural 'Eye' Ring with Oval Diamond,Avant-garde modern art ring featuring an eye-shaped bezel holding an oval diamond and gemstone.,Yellow Gold,Oval
R-475766,Platinum Round Diamond 3-Stone Ring with Pear Accents,Classic 3-stone ring highlighting a round brilliant center flanked by pear shape diamonds.,Platinum/White Gold,Round
R-478533,18k Yellow Gold Oval Diamond Ring with Marquise Accents,Elegant oval center stone set on a band adorned with delicate marquise diamond motifs.,Yellow Gold,Oval
R-482456,18k White Gold Heart Shape Diamond Eternity Band,Romantic eternity ring composed of continuous heart shaped diamonds.,White Gold,Heart
R-487900,18k Yellow Gold Wide Band Emerald Cut Diamond Ring (Retro),Bold and substantial yellow gold ring featuring an east-west emerald cut diamond and channel set sides.,Yellow Gold,Emerald
R-492310,18k Yellow Gold Marquise & Pear 3-Stone Engagement Ring,Dramatic 3-stone engagement ring featuring a marquise center and pear shape side stones.,Yellow Gold,"Marquise, Pear"
R-503301,18k White Gold Bezel Set Radiant Cut Diamond Ring,Modern and protective bezel setting holding a stunning elongated radiant cut diamond.,White Gold,Radiant
R-511720,18k Yellow Gold Celestial Marquise Diamond Ring (Star Set),Bohemian wide band featuring a flush-set marquise diamond and starry accents.,Yellow Gold,Marquise
R-514609,18k White Gold Oval Diamond Engagement Ring (Pave),Timeless oval diamond solitaire set on a sparkling micropave diamond band.,White Gold,Oval
R-518423,18k White Gold Marquise Diamond Engagement Ring (Pave),Elegant marquise diamond set vertically on a delicate diamond accented band.,White Gold,Marquise
R-541316,18k Yellow Gold Pear Shaped Diamond Engagement Ring (Pave),Classic pear cut diamond set in yellow gold with a diamond-encrusted shank.,Yellow Gold,Pear
R-549234,18k Yellow Gold Marquise Diamond Ring (Vintage Scrollwork),Exquisite marquise solitaire ring featuring a hand-engraved vintage style scrolling band.,Yellow Gold,Marquise
R-568023,18k White Gold Oval Diamond Engagement Ring (Pave Band),Graceful oval diamond set in white gold with a shimmering micropave band.,White Gold,Oval
R-577143,18k White Gold Classic Round Diamond Solitaire Ring,The quintessential engagement ring: a brilliant round solitaire in a timeless 4-prong setting.,White Gold,Round
R-583544,Platinum Round Diamond 3-Stone Ring with Tapered Baguettes,Traditional elegance featuring a round brilliant center flanked by channel set tapered baguettes.,Platinum/White Gold,Round
R-589838,18k Yellow Gold Oval Diamond Halo Engagement Ring,Radiant oval diamond surrounded by a halo and set in rich 18k yellow gold.,Yellow Gold,Oval
R-593292,18k Rose Gold Oval Diamond Engagement Ring (Pave),Romantic rose gold setting hosting a brilliant oval diamond and pave band.,Rose Gold,Oval
